title,author,upvotes,polarity,emotion,topics
All you can eat Buffet,whatevermeme,19,1.0,neutral,"Housing/Real Estate, Food/Dining"
Best thrifting place in Dhaka??,DebtLess2374,5,0.9,joy,"Housing/Real Estate, Food/Dining"
Need Suggestions for Menâ€™s Salons in Dhaka,NoPerception9519,4,0.85,joy,"Housing/Real Estate, Technology/Gadgets"
Do guys find girls with nose piercings attractive?,sabia__,53,0.8,neutral,General
Want to learn to cook,LessTell,10,0.7999999999999999,joy,Food/Dining
Best place for cataract surgery in Dhaka?,Available-Ad-1014,5,0.7,joy,"Housing/Real Estate, Health/Medical"
Good knee specialist in Dhaka?,DeltaOmega88,4,0.7,joy,"Housing/Real Estate, Technology/Gadgets, Health/Medical, Travel/Transportation, Politics/Government"
Suggest stores to buy unofficial iphone,amnesia_luck,3,0.7,joy,"Technology/Gadgets, Shopping/Commerce"
Perfume suggestion under 2000 taka,_parrot_king0,13,0.7,joy,Sports/Recreation
is this good for a 11th grader?,Majestic_Search4740,7,0.7,joy,General
Perfumes,omerhabib44,4,0.7,joy,"Housing/Real Estate, Shopping/Commerce"
Winter clothes,itzfaria,5,0.6499999999999999,joy,"Housing/Real Estate, Shopping/Commerce, Sports/Recreation"
Shower Gel,Sparrow_tora_999,19,0.6333333333333333,joy,Shopping/Commerce
Gym location,redwizzardalastor,2,0.6,joy,"Technology/Gadgets, Travel/Transportation"
Hangout place suggetion!,Equal-Love-4701,3,0.5474489795918368,joy,"Housing/Real Estate, Relationships/Social"
